,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Leningradskiy,5,RU,1562800668,68,69.38,178.42,43.91,5.99
1,Kendari,97,ID,1562800669,88,-3.99,122.52,74.15,2.37
2,Arraial do Cabo,0,BR,1562800670,77,-22.97,-42.02,66.2,8.05
3,Alyangula,30,AU,1562800671,100,-13.85,136.42,66.2,8.05
4,Lakes Entrance,62,AU,1562800673,56,-37.88,147.99,53.01,4.0
5,Jamestown,48,AU,1562800498,84,-33.21,138.6,51.47,18.99
6,Neuquen,60,AR,1562800613,60,-38.95,-68.06,49.49,3.06
7,Yellowknife,40,CA,1562800676,51,62.45,-114.38,60.8,10.29
8,New Norfolk,40,AU,1562800677,70,-42.78,147.06,51.01,9.17
9,Cidreira,100,BR,1562800678,77,-30.17,-50.22,55.43,1.28
10,Yuanping,72,CN,1562800680,86,38.72,112.71,58.67,3.2
11,Puerto Ayora,20,EC,1562800681,57,-0.74,-90.35,78.8,20.8
12,Punta Arenas,90,CL,1562800682,93,-53.16,-70.91,37.4,6.93
13,Brusyliv,31,UA,1562800683,100,50.28,29.52,55.99,4.47
14,Ponta Delgada,20,PT,1562800685,83,37.73,-25.67,69.8,1.12
15,Geraldton,75,CA,1562800686,93,49.72,-86.95,64.4,10.29
16,Faanui,12,PF,1562800687,69,-16.48,-151.75,77.39,1.63
17,Kahului,40,US,1562800688,55,20.89,-156.47,89.6,23.04
18,Vaini,100,IN,1562800689,86,15.34,74.49,77.57,8.28
19,San Patricio,66,PY,1562800691,86,-26.98,-56.83,64.07,5.79
20,Palmer,20,AU,1562800692,82,-34.85,139.16,55.99,14.99
21,Rikitea,2,PF,1562800693,79,-23.12,-134.97,73.43,18.95
22,Mataura,91,NZ,1562800695,96,-46.19,168.86,46.99,3.0
23,Maldonado,75,UY,1562800586,82,-34.91,-54.96,55.4,4.7
24,Hilo,75,US,1562800697,65,19.71,-155.08,82.4,10.29
25,Ilulissat,14,GL,1562800698,93,69.22,-51.1,42.8,4.7
26,Pevek,34,RU,1562800699,68,69.7,170.27,48.05,9.44
27,Kapaa,40,US,1562800700,74,22.08,-159.32,84.2,12.75
